CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U62091KA2023FTC176696,TYRADS INDIA PRIVATE LIMITED,ROC Bangalore,Company limited by shares,subsidiary of company incorporated outside India,Private,1000000,100000,28-07-2023,"NO.43, RESIDENCY ROAD,Bangalore North,Bangalore,Karnataka,560025-India",Unlisted,Active,karnataka,Indian,62091,Business Services
U62091KA2023PTC176729,BRINGINLABS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,31-07-2023,"26 Yalahanka Street Devanahalli,Devanahalli,Bangalore Rural,Karnataka,562110-India",Unlisted,Active,karnataka,Indian,62091,Business Services
U62091KA2023PTC176859,FORGEORG SOFTWARE SOLUTIONS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,02-08-2023,"NO.82/2, 16TH MAIN ROAD, BEGURMAIN ROADHONGSANDRA,Bangalore South,Bangalore,Karnataka,560068-India",Unlisted,Active,karnataka,Indian,62091,Business Services
U62091KA2024PTC189567,ADNA CONSULTING PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,11-06-2024,"1379/B/3,Prasanna Building,Belgaum,Belgaum,Karnataka,590001-India",Unlisted,Active,karnataka,Indian,62091,Business Services
U62091KA2024PTC192088,MLAISEC INDIA PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,14-08-2024,"235 BINNAMANGALA 2ND FLOOR 13TH CROSS ROAD,2ND STAGE INDIRA NAGAR,Bangalore North,Bangalore,Karnataka,560038-India",Unlisted,Active,karnataka,Indian,62091,Business Services
U62099KA2023PTC174921,DOD OF DIGITALS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1500000,30000,14-06-2023,"No.18, 3rd cross,K G Nagar,Bangalore South,Bangalore,Karnataka,560019-India",Unlisted,Active,karnataka,Indian,62099,Business Services
U62099KA2023PTC175218,FERILION LABS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,1000000,23-06-2023,"#187,Pearlwood, 1st Floor,A Block, AECS Layout,Bangalore North,Bangalore,Karnataka,560037-India",Unlisted,Active,karnataka,Indian,62099,Business Services
U62099KA2023PTC175768,STOCKBITE INFO SOLUTIONS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,10-07-2023,"15-52/8, MKJ Complex,Red Hill, Manampadi,Mangalore,Dakshina Kannada,Karnataka,574154-India",Unlisted,Active,karnataka,Indian,62099,Business Services
U62099KA2023PTC175810,TECHBERAWAA PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,10-07-2023,"C-504, 5th Floor, Jalvayu Heights,,HMT Factory Main Road, Jalahalli,Bangalore North,Bangalore,Karnataka,560013-India",Unlisted,Active,karnataka,Indian,62099,Business Services
U62099KA2023PTC176902,ZULA INTERNET PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,10000,03-08-2023,"A203, Stag Aditya Apts,26,Ashwini Layout, Ejipura,Bangalore North,Bangalore,Karnataka,560047-India",Unlisted,Active,karnataka,Indian,62099,Business Services
U62099KA2024OPC189765,PURPLE NOISE AI (OPC) PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,One Person Company,100000,10000,14-06-2024,"2J43, KRISTAL JASPER,KASAVANAHALLI,Bangalore South,Bangalore,Karnataka,560035-India",Unlisted,Active,karnataka,Indian,62099,Business Services
U62099KA2024PTC189336,COMPANE TECH PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,03-06-2024,"No.297, 1st Flr, 35th Crs,7th C Mn, Jayanagar 4 Blk,Bangalore South,Bangalore,Karnataka,560011-India",Unlisted,Active,karnataka,Indian,62099,Business Services
U62099KA2024PTC189479,RELAYT SOCIAL PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,10000,10000,07-06-2024,"No. 502, Sharada 4S, 22nd Cross Road,,Sector 3, HSR Layout,,Bangalore South,Bangalore,Karnataka,560102-India",Unlisted,Active,karnataka,Indian,62099,Business Services
U62099KA2024PTC189510,FIKSU GLOBAL SERVICES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,100000,10-06-2024,"Flat No 208 B Block Royal,Mist Apartment, Heelalige,Bangalore South,Bangalore,Karnataka,560099-India",Unlisted,Active,karnataka,Indian,62099,Business Services
U62099KA2024PTC190005,SPACED REVISION PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,22-06-2024,"HD-267, Block L,,WeWork Embassy TechVillag,Bangalore South,Bangalore,Karnataka,560103-India",Unlisted,Active,karnataka,Indian,62099,Business Services
