CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U51909TZ2020PTC034060,IRABAS INTERNATIONAL PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,100000,100000,11-07-2020,"SF No: 3/1, D. No: 1/71-1B,   Ponnandampalayam,,Coimbatore,Coimbatore,Tamil Nadu,641407-India",Unlisted,Active,tamil nadu,Indian,51909,Trading
U51909TZ2021PTC036621,DISTINCT SNOW LAND INDIA PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,1000000,1000000,20-07-2021,"13/1, FIRST FLOOR, THINGALUR ROAD   NASIYANUR,ERODE,Erode,Tamil Nadu,638107-India",Unlisted,Active,tamil nadu,Indian,51909,Trading
U51909TZ2022PTC039311,B-MEDI SOLUTIONS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,500000,500000,28-06-2022,"2nd floor,vijayashanthi infinity Appartm   Thandalam,Sriperambadur,CHETTIPEDU,Kancheepuram,Tamil Nadu,602105-India",Unlisted,Active,tamil nadu,Indian,51909,Trading
U72900TN2020OPC135888,COLOURFUL WEBSITE (OPC) PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,One Person Company,10000,10000,18-06-2020,"14/85, 10th Street, 14th Block,3rd Phase   Thiru nagar, Villivakkam, Thiruvallur,Chennai,Chennai,Tamil Nadu,600049-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC135519,COGEDS TECHNOLOGIES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,100000,01-06-2020,"No. 48, Block 4, Natwest Vijay Apartment   Velacherry-Tambaram Main Rd Pallikkarani,Chennai,Chennai,Tamil Nadu,600100-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC135592,SAI FUTURE TECHNOLOGIES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000,100000,05-06-2020,"No.21, K.V.K Samy Street,   Ullagaram, Nanganallur,,Chennai,Kancheepuram,Tamil Nadu,600061-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC135733,ONELIGN TECHNOLOGIES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,996460,11-06-2020,"PLOT NO 19, DOOR NO 109/1,   CTH ROAD, R C C POST, THIRUMULAIVAYIL,,CHENNAI,Chennai,Tamil Nadu,600109-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC135884,TECHNOMOTIVA GLOBAL SERVICES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000,750000,18-06-2020,"41/1358   Rajeev Nagar, Nagai Road,Thanjavur,Thanjavur,Tamil Nadu,613001-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC135894,PRIMEFORCE SOLUTIONS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000,200000,18-06-2020,"S1 , VGK SRI SAI GURUSTHAN APARTMENTS   43, KANNAN NAGAR, CHROMPET,CHENNAI,Kancheepuram,Tamil Nadu,600044-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC135952,LIGHTING LANTERNS MEDIA WORKS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,500000,23-06-2020,"33-4/3, NATUVANKARI, ARASANSERY,   SREE NILAYAM, KUMARAPURAM, KALKULAM,KANYAKUMARI,Kanyakumari,Tamil Nadu,629164-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC136103,PREDIGLE INDIA PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,100000,02-07-2020,"D NO.11, PLOT NO.13, VENKATESWARA NAGAR   MAIN ROAD, KESAVARDHINI, VALASARAVAKKAM,CHENNAI,Chennai,Tamil Nadu,600087-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC136257,ALPHAHO PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,10000,08-07-2020,"9/A,   8th East Main Road , Gandinagar,,Vellore,Vellore,Tamil Nadu,632006-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC136260,ZRL INFOTECH PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,500000,100000,09-07-2020,"No.58, 1st Floor, Dr.Ranga Road,   Alwarpet,Chennai,Chennai,Tamil Nadu,600018-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC136274,KUMAR RURAL INTERNET SERVICES CENTRE PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000,200000,09-07-2020,"9/82, PULIMUHATHAN KURUCHI,   KAPPIYARAI,KANYAKUMARI,Kanyakumari,Tamil Nadu,629156-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC136309,CLOUD UMBRA SOLUTIONS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,100000,11-07-2020,"N.No 6, O.N.8. Green View Colony,   Mogapair road, Padi,Chennai,Chennai,Tamil Nadu,600050-India",Unlisted,Strike Off,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC136332,SERVSOFT TECHNOLOGIES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,100000,12-07-2020,"NO.4091, MAPLETON, Velachey Main Road,   Pallikaranai, Kancheepuram,Kancheepuram,Kancheepuram,Tamil Nadu,600100-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC136515,TRINITECH SOFTWARE PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,30000,19-07-2020,"7 RAIL NAGAR, RANGAMPALAYAM   CHENNIMALAI ROAD, ERODE CITY,ERODE,Erode,Tamil Nadu,638009-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC136616,MINDTHOUGHTS SOLUTIONS INDIA PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000,100000,23-07-2020,"OLD NO.17, NEW NO.62,1ST FLOOR   JAGAJEEVANRAM NAGAR, SELAIYUR,AGARAM MAIN ROAD,Chennai,Tamil Nadu,600073-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC136783,KOCHA TECHNOLOGIES INDIA PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,262180,30-07-2020,"715A, 7TH FLOOR, SPENCER PLAZA SUITE NO.398,   MOUNT ROAD, ANNA SALAI,CHENNAI,Chennai,Tamil Nadu,600002-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC136935,GATLOP TECHNOLOGIES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,10000,06-08-2020,"NO. 8/9, KAMARAJ STREET   CITHU ORAGADAM, AMBATTUR,Chennai,Chennai,Tamil Nadu,600053-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC137056,WEBKANINI TECHNOLOGIES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,100000,11-08-2020,"79/127, ECR MAIN ROAD   PANAIYUR ( SHOLINGANALLUR),CHENNAI,Chennai,Tamil Nadu,600119-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC137076,SIGNIFICANT RULING CREW INDIA PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,100000,12-08-2020,"Plot No.7, Door No. 33/1   K. K. Salai, MGR Nagar, Akkarai,Chennai,Chennai,Tamil Nadu,600115-India",Unlisted,Strike Off,tamil nadu,Indian,72900,Business Services
U45200TN2020PTC137490,INNOVATE CONSTRUCTIONS AND INTERIORS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,100000,28-08-2020,"E2 THIRD FLOOR,KING COURT APARTMENT   NR ANNA BUS STAND,RAJAJI ST,GANDHINAGAR,MADURAI,Madurai,Tamil Nadu,625020-India",Unlisted,Strike Off,tamil nadu,Indian,45200,Construction
U45200TN2021PTC145697,NICO ALLEN INFRASTRUCTURE PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,50000000,50000000,25-08-2021,"1/44, S2 PARVATHY APPARTMENT   BAZZAR ROAD MOGAPPAIR EAST,CHENNAI,Chennai,Tamil Nadu,600037-India",Unlisted,Active,tamil nadu,Indian,45200,Construction
U45200TN2024PTC171394,MALOVIN PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000,200000,26-06-2024,"No.5,41st Street,T G,Nagar,Shristi Flats,S 2,Saidapet,Kanchipuram,Tamil Nadu,600061-India",Unlisted,Active,tamil nadu,Indian,45200,Trading
U55209TN2020PTC136101,KARKASH FOODS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000,100000,01-07-2020,"No. 151/B9,   ANAIVILUNTHAN KULA STREET, PATTUKKOTTAI,,THANJAVUR,Thanjavur,Tamil Nadu,614601-India",Unlisted,Strike Off,tamil nadu,Indian,55209,Trading
U55209TN2021PTC144866,THIEF HOTELS & RESORTS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,500000,500000,19-07-2021,"NO 50/150, KODAMBAKKAM HIGH ROAD   DR MGR SALAI, NUNGAMBAKKAM,CHENNAI,Chennai,Tamil Nadu,600034-India",Unlisted,Active,tamil nadu,Indian,55209,Trading
U55209TN2022PTC152829,LUNCHDROID TECHNOLOGIES INDIA PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000,220000,02-06-2022,"715-A,7th Floor   Mount Road,Anna salai,Chennai,Chennai,Tamil Nadu,600002-India",Unlisted,Active,tamil nadu,Indian,55209,Trading
U56101TN2024OPC170789,ADAM SUVAI ZONE (OPC) PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,One Person Company,150000,110000,04-06-2024,"No 36, Rangan Street,,T Nagar,Chennai,Chennai,Tamil Nadu,600017-India",Unlisted,Active,tamil nadu,Indian,56101,"Transport, storage and Communications"
U56102TN2023PTC161764,ZEALIA FOODS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,100000,10-07-2023,"C/O G.SACHITHANANTHAM,0 BAJANAI KOIL STREET,Chengalpattu,Kanchipuram,Tamil Nadu,603203-India",Unlisted,Active,tamil nadu,Indian,56102,"Transport, storage and Communications"
U56102TN2024PTC172684,GEETHAM VEG RESTAURANTS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000,100000,12-08-2024,"NO:2/216 H.NO3 2ND AVENUE,MAIN RD VETTUVANKENI ECR,Kancheepuram,Kanchipuram,Tamil Nadu,600115-India",Unlisted,Active,tamil nadu,Indian,56102,"Transport, storage and Communications"
U56102TN2024PTC172815,LE ATTI CAFE IDHU NAMMA SPOT PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,100000,19-08-2024,"SNO439/1A, A-707,AMETHYST,C BLOCK,ELCOT AVENUE ROAD,Saidapet,Kanchipuram,Tamil Nadu,600119-India",Unlisted,Active,tamil nadu,Indian,56102,"Transport, storage and Communications"
