CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U45200TG2020PTC141763,SREE DIVITH ENTERPRISES PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,15-07-2020,"Flat No.C-1204, Raheja Vistas,Road No-12   IDA Nacharam, Uppal,,Hyderabad,Hyderabad,Telangana,500076-India",Unlisted,Active,telangana,Indian,45200,Construction
U45200TG2022PTC163460,LANDS WOOD INFRA PROJECTS PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,06-06-2022,"H NO. 8-2-686/B/55/1 P NO. 1   ROAD NO. 12 BANJARA HILLS,HYDERABAD,Hyderabad,Telangana,500034-India",Unlisted,Active,telangana,Indian,45200,Construction
U45200TS2024PTC187419,SKULL DETAILING STUDIO PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,11-07-2024,"5 MIG,S.F COLONY HAYATHNAGAR,Hayathnagar,Hyderabad,Telangana,500070-India",Unlisted,Active,telangana,Indian,45200,Trading
U55209TG2021PTC153980,ULTIMUS FOOD PARK PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,10-08-2021,"7-1-61/8   AMEERPET,Hyderabad,Hyderabad,Telangana,500017-India",Unlisted,Active,telangana,Indian,55209,Trading
U55209TG2022OPC163452,R SQUARE STAY AND SOLUTIONS (OPC) PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,One Person Company,100000,100000,06-06-2022,"7-3-18/1/B,  ON PLOT NO.1/B   SARASWATHI NAGAR, MALLIKARJUNA NAGAR,,HYDERABAD,Hyderabad,Telangana,500070-India",Unlisted,Active,telangana,Indian,55209,Trading
U55209TG2022PTC165633,LA CUPULA INDIA PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,12-08-2022,"710B,LAXMI SAI NILAYAM ROAD NO.36   WHISPER VALLEY,VENKATAGIRI,JUBILEE HILLS,HYDERABAD,Hyderabad,Telangana,500033-India",Unlisted,Active,telangana,Indian,55209,Trading
U56100TS2024PTC186234,MOVE78 HOSPITALITY PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,04-06-2024,"LVS Arcade, Plot No. 71, Jubilee Enclave, Hitec City, Serilingampally,91 Springboard Business Hub Pvt Ltd,,Shaikpet,Hyderabad,Telangana,500081-India",Unlisted,Active,telangana,Indian,56100,"Transport, storage and Communications"
U59111TS2024PTC188332,KALKIYUGA PRODUCTIONS PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,08-08-2024,"9-122/1, Ram Nagar,CCC X Road, theegalpad,Mancherial,Adilabad,Telangana,504302-India",Unlisted,Active,telangana,Indian,59111,Business Services
U59113TS2023PTC175756,OKTV MEDIA AND BROADCSTING PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,04-08-2023,"8-3-214/2, 3rd Floor,,Murthy Mansion, Ameerpet,Khairatabad,Hyderabad,Telangana,500038-India",Unlisted,Active,telangana,Indian,59113,Business Services
U62010TS2024PTC186844,AHIYANARNAV PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,24-06-2024,"205, 2ND FLOOR,1ST BLOCK, PSR PRIME TOWERS, INDIRA NAGAR,Seri Lingampally,K.V.Rangareddy,Telangana,500032-India",Unlisted,Active,telangana,Indian,62010,Business Services
U62011TS2023PTC175887,OCTMARK TECHNOLOGIES INDIA PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,500000,15000,09-08-2023,"8 - 39/1, Narayanapuram,Colony, Dammaiguda,,Rangareddy,Hyderabad,Telangana,500083-India",Unlisted,Active,telangana,Indian,62011,Business Services
U62011TS2024PTC186503,EVENING ELEPHANT TECH SOLUTIONS PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,10000,13-06-2024,"8-3-169/60/628,Indira Nagar, Borabanda,Ameerpet,Hyderabad,Telangana,500018-India",Unlisted,Active,telangana,Indian,62011,Business Services
U62012TS2024PTC187602,SWIFTCARRY PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,17-07-2024,"F NO 104 BLOCK II,PRAGATHI ENCLAVE MIYAPUR,Tirumalagiri,Hyderabad,Telangana,500049-India",Unlisted,Active,telangana,Indian,62012,Business Services
U72200TG2020PTC141339,AIMIT SERVICES PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,03-07-2020,"10A, Goldenpalms, Ameenpur,,Hyderabad,Rangareddi,Telangana,502032-India",Unlisted,Strike Off,telangana,Indian,72200,Business Services
U72200TG2020PTC142476,NTAX ADVISORY PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,03-08-2020,"P.No.23, Sy.No.177, Sri Lakshmi Nilayam   Addagutta, H M T Colony, Kukatpally,Hyderabad,Hyderabad,Telangana,500072-India",Unlisted,Active,telangana,Indian,72200,Business Services
U45209TG2020PTC141086,SRI MANASA INFRA PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1500000,100000,25-06-2020,"#1-6-46 and 250, Parklane, Secunderabad,Hyderabad,Hyderabad,Telangana,500003-India",Unlisted,Strike Off,telangana,Indian,45209,Construction
